year,month,quarter,labour force,employed,employed_full,employed_part,unemployed,L_avg,E_avg,U_avg
2015,1,1,18818.10,17595.80,14087.20,3508.60,1222.30,,,
2015,2,1,18778.40,17495.00,13990.00,3505.00,1283.40,18795.70,17506.43,1289.30
2015,3,1,18790.60,17428.50,13918.40,3510.10,1362.20,,,
2015,4,2,18856.60,17479.50,13994.60,3485.00,1377.10,,,
2015,5,2,19025.70,17646.80,14194.30,3452.50,1378.80,19032.60,17670.80,1361.77
2015,6,2,19215.50,17886.10,14536.60,3349.60,1329.40,,,
2015,7,3,19400.70,18064.70,14856.20,3208.50,1336.00,,,
2015,8,3,19484.00,18111.10,15058.50,3052.60,1372.90,19425.77,18067.57,1358.23
2015,9,3,19392.60,18026.90,14928.00,3098.90,1365.80,,,
2015,10,4,19281.00,17971.20,14729.20,3242.10,1309.80,,,
2015,11,4,19121.70,17886.40,14479.60,3406.80,1235.30,19162.27,17897.40,1264.87
2015,12,4,19084.10,17834.60,14379.20,3455.40,1249.50,,,
2016,1,1,19013.50,17688.50,14228.90,3459.60,1325.00,,,
2016,2,1,18985.60,17585.60,14083.20,3502.40,1400.00,18995.27,17599.67,1395.60
2016,3,1,18986.70,17524.90,14005.70,3519.20,1461.80,,,
2016,4,2,19043.00,17581.20,14047.70,3533.50,1461.90,,,
2016,5,2,19188.00,17766.70,14291.80,3475.00,1421.20,19192.10,17780.37,1411.73
2016,6,2,19345.30,17993.20,14592.60,3400.60,1352.10,,,
2016,7,3,19497.10,18152.00,14873.00,3279.00,1345.10,,,
2016,8,3,19563.00,18170.00,14995.40,3174.60,1393.10,19515.90,18140.43,1375.50
2016,9,3,19487.60,18099.30,14888.90,3210.40,1388.30,,,
2016,10,4,19408.00,18083.40,14722.80,3360.70,1324.60,,,
2016,11,4,19278.00,18045.50,14492.30,3553.10,1232.60,19315.83,18052.60,1263.27
2016,12,4,19261.50,18028.90,14407.20,3621.70,1232.60,,,
2017,1,1,19222.40,17939.20,14288.00,3651.20,1283.20,,,
2017,2,1,19207.00,17882.70,14241.90,3640.80,1324.40,19217.20,17889.83,1327.40
2017,3,1,19222.20,17847.60,14213.30,3634.40,1374.60,,,
2017,4,2,19247.80,17893.10,14285.90,3607.20,1354.70,,,
2017,5,2,19427.30,18087.80,14522.70,3565.10,1339.50,19429.20,18106.00,1323.20
2017,6,2,19612.50,18337.10,14829.20,3507.80,1275.40,,,
2017,7,3,19814.60,18540.60,15167.10,3373.60,1274.00,,,
2017,8,3,19872.30,18578.00,15296.00,3282.00,1294.30,19816.70,18539.17,1277.53
2017,9,3,19763.20,18498.90,15208.60,3290.30,1264.30,,,
2017,10,4,19654.00,18454.80,15056.20,3398.60,1199.10,,,
2017,11,4,19522.80,18419.50,14887.80,3531.60,1103.40,19566.70,18438.33,1128.40
2017,12,4,19523.30,18440.70,14837.30,3603.40,1082.70,,,
2018,1,1,19450.30,18334.10,14723.70,3610.40,1116.20,,,
2018,2,1,19403.30,18243.60,14627.70,3615.90,1159.70,19414.53,18249.67,1164.87
2018,3,1,19390.00,18171.30,14588.40,3582.90,1218.70,,,
2018,4,2,19456.90,18244.00,14670.80,3573.20,1213.00,,,
2018,5,2,19629.60,18417.20,14909.60,3507.60,1212.40,19636.83,18433.03,1203.87
2018,6,2,19824.00,18637.90,15187.80,3450.10,1186.20,,,
2018,7,3,20003.30,18812.70,15455.60,3357.10,1190.60,,,
2018,8,3,20073.90,18839.10,15603.50,3235.60,1234.80,20016.63,18804.93,1211.70
2018,9,3,19972.70,18763.00,15502.30,3260.80,1209.70,,,
2018,10,4,19860.70,18705.00,15334.90,3370.10,1155.70,,,
2018,11,4,19750.20,18694.90,15132.60,3562.30,1055.40,19784.10,18699.90,1084.23
2018,12,4,19741.40,18699.80,15069.30,3630.50,1041.60,,,
2019,1,1,19734.20,18633.70,14951.20,3682.60,1100.40,,,
2019,2,1,19743.90,18581.60,14865.70,3715.90,1162.40,19753.27,18588.57,1164.70
2019,3,1,19781.70,18550.40,14829.70,3720.80,1231.30,,,
2019,4,2,19871.20,18649.70,14940.70,3709.00,1221.50,,,
2019,5,2,20035.70,18847.80,15189.50,3658.30,1187.90,20046.97,18865.67,1181.27
2019,6,2,20234.00,19099.50,15500.70,3598.80,1134.40,,,
2019,7,3,20391.60,19246.70,15786.00,3460.70,1144.80,,,
2019,8,3,20486.40,19275.20,15928.30,3346.90,1211.20,20430.30,19247.47,1182.80
2019,9,3,20412.90,19220.50,15838.10,3382.50,1192.40,,,
2019,10,4,20325.00,19201.40,15668.40,3532.90,1123.60,,,
2019,11,4,20177.20,19124.00,15436.90,3687.10,1053.20,20210.87,19132.43,1078.43
2019,12,4,20130.40,19071.90,15341.00,3730.90,1058.50,,,
2020,1,1,20049.70,18939.70,15213.10,3726.70,1110.00,,,
2020,2,1,20015.90,18880.30,15148.50,3731.70,1135.60,19958.73,18763.90,1194.83
2020,3,1,19810.60,18471.70,14947.70,3524.00,1338.90,,,
2020,4,2,19318.80,17538.20,14386.60,3151.50,1780.60,,,
2020,5,2,19063.50,16789.30,14021.80,2767.50,2274.20,19226.53,17033.00,2193.53
2020,6,2,19297.30,16771.50,14075.80,2695.70,2525.80,,,
2020,7,3,19917.00,17461.40,14597.40,2863.90,2455.60,,,
2020,8,3,19917.00,17461.40,14597.40,2863.90,2455.60,20057.77,17722.30,2335.47
2020,9,3,20339.30,18244.10,15035.50,3208.60,2095.20,,,
2020,10,4,20299.90,18416.70,15044.60,3372.10,1883.20,,,
2020,11,4,20186.10,18523.90,14980.60,3543.40,1662.10,20208.40,18483.37,1724.97
2020,12,4,20139.20,18509.50,14953.60,3555.90,1629.60,,,
2021,1,1,20030.50,18304.90,14861.50,3443.30,1725.60,,,
2021,2,1,19968.20,18208.80,14806.70,3402.10,1759.50,19998.70,18248.43,1750.30
2021,3,1,19997.40,18231.60,14822.50,3409.10,1765.80,,,
2021,4,2,20073.40,18393.20,14922.60,3470.60,1680.20,,,
2021,5,2,20223.60,18547.90,15127.10,3420.80,1675.70,20234.97,18569.53,1665.43
2021,6,2,20407.90,18767.50,15371.40,3396.10,1640.40,,,
2021,7,3,20618.30,19006.40,15654.70,3351.70,1611.90,,,
2021,8,3,20753.60,19161.40,15819.40,3342.00,1592.20,20689.60,19115.93,1573.67
2021,9,3,20696.90,19180.00,15801.80,3378.20,1516.90,,,
2021,10,4,20600.40,19207.00,15717.30,3489.70,1393.40,,,
2021,11,4,20478.90,19252.80,15599.30,3653.50,1226.10,20506.13,19247.50,1258.63
2021,12,4,20439.10,19282.70,15579.60,3703.10,1156.40,,,
2022,1,1,20349.80,19147.70,15471.40,3676.40,1202.10,,,
2022,2,1,20317.90,19110.90,15422.40,3688.50,1207.00,20334.27,19119.97,1214.30
2022,3,1,20335.10,19101.30,15399.90,3701.30,1233.80,,,